Version,Servicing option,Availability date,"End of servicing: Home, Pro, Pro Education, and Pro for Workstations","End of servicing: Enterprise, Education, IoT Enterprise, and Enterprise multi-session",Latest update,Latest revision date,Latest build
24H2,General Availability Channel,2024-10-01,2026-10-13,2027-10-12,2025-03 D,2025-03-27,26100.3624
23H2,General Availability Channel,2023-10-31,2025-11-11,2026-11-10,2025-03 D,2025-03-25,22631.5126
22H2,General Availability Channel,2022-09-20,End of servicing,2025-10-14,2025-03 D,2025-03-25,22621.5126
Version,Servicing option,Availability date,Mainstream support end date,Extended support end date,Latest update,Latest revision date,Latest build
24H2,Long-Term Servicing Channel (LTSC),2024-10-01,2029-10-09,2034-10-10,2025-03 D,2025-03-27,26100.3624
Servicing option,Update type,Availability date,Build,KB article,,,
LTSC • General Availability Channel,2025-03 D,2025-03-27,26100.3624,KB5053656,,,
LTSC • General Availability Channel,2025-03 B,2025-03-11,26100.3476,KB5053598,,,
LTSC • General Availability Channel,2025-02 D,2025-02-25,26100.3323,KB5052093,,,
LTSC • General Availability Channel,2025-02 B,2025-02-11,26100.3194,KB5051987,,,
LTSC • General Availability Channel,2025-01 D,2025-01-28,26100.3037,KB5050094,,,
LTSC • General Availability Channel,2025-01 B,2025-01-14,26100.2894,KB5050009,,,
LTSC • General Availability Channel,2024-12 B,2024-12-10,26100.2605,KB5048667,,,
LTSC • General Availability Channel,2024-11 D,2024-11-21,26100.2454,KB5046740,,,
LTSC • General Availability Channel,2024-11 B,2024-11-12,26100.2314,KB5046617,,,
LTSC • General Availability Channel,2024-10 D,2024-10-24,26100.2161,KB5044384,,,
LTSC • General Availability Channel,2024-10 B,2024-10-08,26100.2033,KB5044284,,,
LTSC • General Availability Channel,2024-10 A,2024-10-01,26100.1742,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
